Country_ID,Country_Name,Country_Name_Legacy,Region,UN_Region,Annex I,Collection,Collection_for_website
4,Afghanistan,AFGHANISTAN,Asia Pacific,"Asia, Southern",FALSE,,
8,Albania,ALBANIA,Europe,"Europe, Southern",FALSE,,
12,Algeria,ALGERIA,Africa,"Africa, Northern",FALSE,,
16,American Samoa,AMERICAN SAMOA,Asia Pacific,Polynesia,FALSE,,United States
20,Andorra,ANDORRA,Europe,"Europe, Southern",FALSE,,
24,Angola,ANGOLA,Africa,"Africa, Middle",FALSE,,
28,Antigua and Barbuda,ANTIGUA & BARBUDA,South and Central America,Caribbean,FALSE,Leeward Islands,Leeward Islands
31,Azerbaijan,AZERBAIJAN,Commonwealth of Independent States,"Asia, Western",FALSE,Soviet Union,Soviet Union
32,Argentina,ARGENTINA,South and Central America,"America, South",FALSE,,
36,Australia,AUSTRALIA,Asia Pacific,Australia and New Zealand,TRUE,,
40,Austria,AUSTRIA,Europe,"Europe, Western",TRUE,,
44,Bahamas,BAHAMAS,South and Central America,Caribbean,FALSE,,
48,Bahrain,BAHRAIN,Middle East,"Asia, Western",FALSE,,
50,Bangladesh,BANGLADESH,Asia Pacific,"Asia, Southern",FALSE,Pakistan,Pakistan
51,Armenia,ARMENIA,Commonwealth of Independent States,"Asia, Western",FALSE,Soviet Union,Soviet Union
52,Barbados,BARBADOS,South and Central America,Caribbean,FALSE,,
56,Belgium,BELGIUM,Europe,"Europe, Western",TRUE,,
60,Bermuda,BERMUDA,South and Central America,"America, Northern",FALSE,,
64,Bhutan,BHUTAN,Asia Pacific,"Asia, Southern",FALSE,,
68,Bolivia (Plurinational State of),PLURINATIONAL STATE OF BOLIVIA,South and Central America,"America, South",FALSE,,
70,Bosnia and Herzegovina,BOSNIA & HERZEGOVINA,Europe,"Europe, Southern",FALSE,Yugoslavia,Yugoslavia
72,Botswana,BOTSWANA,Africa,"Africa, Southern",FALSE,,
76,Brazil,BRAZIL,South and Central America,"America, South",FALSE,,
81,Antarctic Fisheries,ANTARCTIC FISHERIES,Antarctica,Antarctica,FALSE,,
84,Belize,BELIZE,South and Central America,"America, Central",FALSE,,
90,Solomon Islands,SOLOMON ISLANDS,Asia Pacific,Melanesia,FALSE,,
92,British Virgin Islands,BRITISH VIRGIN ISLANDS,South and Central America,Caribbean,FALSE,Leeward Islands,Leeward Islands
96,Brunei Darussalam,BRUNEI (DARUSSALAM),Asia Pacific,"Asia, South-eastern",FALSE,,
100,Bulgaria,BULGARIA,Europe,"Europe, Eastern",TRUE,,
104,Myanmar,MYANMAR (FORMERLY BURMA),Asia Pacific,"Asia, South-eastern",FALSE,,
108,Burundi,BURUNDI,Africa,"Africa, Eastern",FALSE,Ruanda-Urundi,Ruanda-Urundi
112,Belarus,BELARUS,Commonwealth of Independent States,"Europe, Eastern",TRUE,Soviet Union,Soviet Union
116,Cambodia,CAMBODIA,Asia Pacific,"Asia, South-eastern",FALSE,French Indo-China,French Indo-China
120,Cameroon,REPUBLIC OF CAMEROON,Africa,"Africa, Middle",FALSE,,
124,Canada,CANADA,North America,"America, Northern",TRUE,,
132,Cabo Verde,CAPE VERDE,Africa,"Africa, Western",FALSE,,
136,Cayman Islands,CAYMAN ISLANDS,South and Central America,Caribbean,FALSE,,
140,Central African Republic,CENTRAL AFRICAN REPUBLIC,Africa,"Africa, Middle",FALSE,French Equatorial Africa,French Equatorial Africa
144,Sri Lanka,SRI LANKA,Asia Pacific,"Asia, Southern",FALSE,,
148,Chad,CHAD,Africa,"Africa, Middle",FALSE,French Equatorial Africa,French Equatorial Africa
152,Chile,CHILE,South and Central America,"America, South",FALSE,,
156,China,CHINA (MAINLAND),Asia Pacific,"Asia, Eastern",FALSE,,
158,Other Asia,TAIWAN,Asia Pacific,"Asia, Eastern",FALSE,,
162,Christmas Island,CHRISTMAS ISLAND,Asia Pacific,Australia and New Zealand,FALSE,,
170,Colombia,COLOMBIA,South and Central America,"America, South",FALSE,,
172,Commonwealth of Independent States (CIS),COMMONWEALTH OF INDEPENDENT STATES (CIS),Commonwealth of Independent States,"Europe, Eastern",FALSE,,
174,Comoros,COMOROS,Africa,"Africa, Eastern",FALSE,,
175,Mayotte,MAYOTTE,Africa,"Africa, Eastern",FALSE,France,France
178,Congo,CONGO,Africa,"Africa, Middle",FALSE,French Equatorial Africa,French Equatorial Africa
180,Democratic Republic of the Congo,DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),Africa,"Africa, Middle",FALSE,,
184,Cook Islands,COOK ISLANDS,Asia Pacific,Polynesia,FALSE,,
188,Costa Rica,COSTA RICA,South and Central America,"America, Central",FALSE,,
191,Croatia,CROATIA,Europe,"Europe, Southern",TRUE,Yugoslavia,Yugoslavia
192,Cuba,CUBA,South and Central America,Caribbean,FALSE,,
196,Cyprus,CYPRUS,Europe,"Asia, Western",TRUE,,
200,Czechoslovakia [former],CZECHOSLOVAKIA,Europe,"Europe, Eastern",FALSE,Czechoslovakia,Czechoslovakia
203,Czechia,CZECH REPUBLIC,Europe,"Europe, Eastern",TRUE,Czechoslovakia,Czechoslovakia
204,Benin,BENIN,Africa,"Africa, Western",FALSE,French West Africa,French West Africa
208,Denmark,DENMARK,Europe,"Europe, Northern",TRUE,,
212,Dominica,DOMINICA,South and Central America,Caribbean,FALSE,,
214,Dominican Republic,DOMINICAN REPUBLIC,South and Central America,Caribbean,FALSE,,
218,Ecuador,ECUADOR,South and Central America,"America, South",FALSE,,
222,El Salvador,EL SALVADOR,South and Central America,"America, Central",FALSE,,
226,Equatorial Guinea,EQUATORIAL GUINEA,Africa,"Africa, Middle",FALSE,,
230,Ethiopia [up to 1993],NA,Africa,"Africa, Eastern",FALSE,Ethiopia,Ethiopia
231,Ethiopia [from 1993],ETHIOPIA,Africa,"Africa, Eastern",FALSE,Ethiopia,Ethiopia
232,Eritrea,ERITREA,Africa,"Africa, Eastern",FALSE,Ethiopia,Ethiopia
233,Estonia,ESTONIA,Europe,"Europe, Northern",TRUE,Soviet Union,Soviet Union
234,Faeroe Islands,FAEROE ISLANDS,Europe,"Europe, Northern",FALSE,,
238,Falkland Islands (Malvinas),FALKLAND ISLANDS (MALVINAS),South and Central America,"America, South",FALSE,,
242,Fiji,FIJI,Asia Pacific,Melanesia,FALSE,,
246,Finland,FINLAND,Europe,"Europe, Northern",TRUE,,
250,France,NA,Europe,"Europe, Western",TRUE,France,
251,France incl. Monaco,FRANCE (INCLUDING MONACO),Europe,"Europe, Western",TRUE,France,France
254,French Guiana,FRENCH GUIANA,South and Central America,"America, South",FALSE,France,France
258,French Polynesia,FRENCH POLYNESIA,Asia Pacific,Polynesia,FALSE,,
262,Djibouti,DJIBOUTI,Africa,"Africa, Eastern",FALSE,,
263,French Equatorial Africa,FRENCH EQUATORIAL AFRICA,Africa,"Africa, Middle",FALSE,French Equatorial Africa,French Equatorial Africa
265,French Indo-China,FRENCH INDO-CHINA,Asia Pacific,"Asia, South-eastern",FALSE,French Indo-China,French Indo-China
266,Gabon,GABON,Africa,"Africa, Middle",FALSE,French Equatorial Africa,French Equatorial Africa
267,French West Africa,FRENCH WEST AFRICA,Africa,"Africa, Western",FALSE,French West Africa,French West Africa
268,Georgia,GEORGIA,Europe,"Asia, Western",FALSE,Soviet Union,Soviet Union
270,Gambia,GAMBIA,Africa,"Africa, Western",FALSE,,
275,State of Palestine,OCCUPIED PALESTINIAN TERRITORY,Middle East,"Asia, Western",FALSE,,
276,Germany,GERMANY,Europe,"Europe, Western",TRUE,Germany,Germany
278,German Democratic Republic [former],FORMER GERMAN DEMOCRATIC REPUBLIC,Europe,"Europe, Western",FALSE,Germany,Germany
280,"Germany, Federal Republic of",FEDERAL REPUBLIC OF GERMANY,Europe,"Europe, Western",FALSE,Germany,Germany
288,Ghana,GHANA,Africa,"Africa, Western",FALSE,,
292,Gibraltar,GIBRALTAR,Europe,"Europe, Southern",FALSE,,
296,Kiribati,KIRIBATI,Asia Pacific,Micronesia,FALSE,,
300,Greece,GREECE,Europe,"Europe, Southern",TRUE,,
304,Greenland,GREENLAND,North America,"America, Northern",FALSE,,
308,Grenada,GRENADA,South and Central America,Caribbean,FALSE,,
312,Guadeloupe,GUADELOUPE,South and Central America,Caribbean,FALSE,France,France
316,Guam,GUAM,Asia Pacific,Micronesia,FALSE,United States,
320,Guatemala,GUATEMALA,South and Central America,"America, Central",FALSE,,
324,Guinea,GUINEA,Africa,"Africa, Western",FALSE,French West Africa,French West Africa
328,Guyana,GUYANA,South and Central America,"America, South",FALSE,,
332,Haiti,HAITI,South and Central America,Caribbean,FALSE,,
336,Holy See,NA,Europe,"Europe, Southern",FALSE,Italy,
340,Honduras,HONDURAS,South and Central America,"America, Central",FALSE,,
344,"China, Hong Kong Special Administrative Region",HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,Asia Pacific,"Asia, Eastern",FALSE,,
348,Hungary,HUNGARY,Europe,"Europe, Eastern",TRUE,,
352,Iceland,ICELAND,Europe,"Europe, Northern",TRUE,,
356,India,INDIA,Asia Pacific,"Asia, Southern",FALSE,,
360,Indonesia,INDONESIA,Asia Pacific,"Asia, South-eastern",FALSE,Indonesia,Indonesia
364,Iran (Islamic Republic of),ISLAMIC REPUBLIC OF IRAN,Middle East,"Asia, Southern",FALSE,,
368,Iraq,IRAQ,Middle East,"Asia, Western",FALSE,,
372,Ireland,IRELAND,Europe,"Europe, Northern",TRUE,,
376,Israel,ISRAEL,Middle East,"Asia, Western",FALSE,,
380,Italy,NA,Europe,"Europe, Southern",TRUE,Italy,
382,Italy and San Marino,ITALY (INCLUDING SAN MARINO),Europe,"Europe, Southern",TRUE,Italy,
384,Cote d'Ivoire,COTE D IVOIRE,Africa,"Africa, Western",FALSE,French West Africa,French West Africa
388,Jamaica,JAMAICA,South and Central America,Caribbean,FALSE,,
392,Japan,JAPAN,Asia Pacific,"Asia, Eastern",TRUE,Japan,Japan
393,Japan [exc. Okinawa],JAPAN (EXCLUDING THE RUYUKU ISLANDS),Asia Pacific,"Asia, Eastern",TRUE,Japan,
398,Kazakhstan,KAZAKHSTAN,Commonwealth of Independent States,"Asia, Central",FALSE,Soviet Union,Soviet Union
400,Jordan,JORDAN,Middle East,"Asia, Western",FALSE,,
