lat,lon,filename
27.25,-11.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_-11.8
27.25,-11.25,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_-11.2
27.25,-10.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_-10.8
27.25,-10.25,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_-10.2
27.25,-9.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_-9.8
27.25,-9.25,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_-9.2
27.25,-8.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_-8.8
27.25,-8.25,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_-8.2
27.25,16.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_16.8
27.25,17.25,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_17.2
27.25,17.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_17.8
27.25,32.25,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_32.2
27.25,32.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_32.8
27.25,33.25,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_33.2
27.25,36.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_36.8
27.25,37.25,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_37.2
27.25,37.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_37.8
27.25,38.25,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_38.2
27.25,38.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_38.8
27.25,39.25,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_39.2
27.25,39.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_39.8
27.25,40.25,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_40.2
27.25,40.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_40.8
27.25,41.25,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_41.2
27.25,41.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_41.8
27.25,42.25,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_42.2
27.25,42.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_42.8
27.25,43.25,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_43.2
27.25,43.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_43.8
27.25,44.25,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_44.2
27.25,44.75,ts_owda_v1_0_0_pdsi_jja_lat_27.2_lon_44.8
27.75,-11.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_-11.8
27.75,-11.25,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_-11.2
27.75,-10.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_-10.8
27.75,-10.25,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_-10.2
27.75,-9.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_-9.8
27.75,-9.25,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_-9.2
27.75,-8.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_-8.8
27.75,-8.25,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_-8.2
27.75,-7.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_-7.8
27.75,-7.25,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_-7.2
27.75,-6.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_-6.8
27.75,16.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_16.8
27.75,17.25,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_17.2
27.75,17.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_17.8
27.75,32.25,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_32.2
27.75,32.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_32.8
27.75,36.25,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_36.2
27.75,36.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_36.8
27.75,37.25,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_37.2
27.75,39.25,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_39.2
27.75,39.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_39.8
27.75,40.25,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_40.2
27.75,40.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_40.8
27.75,41.25,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_41.2
27.75,41.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_41.8
27.75,42.25,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_42.2
27.75,42.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_42.8
27.75,43.25,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_43.2
27.75,43.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_43.8
27.75,44.25,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_44.2
27.75,44.75,ts_owda_v1_0_0_pdsi_jja_lat_27.8_lon_44.8
28.25,-11.75,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_-11.8
28.25,-11.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_-11.2
28.25,-10.75,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_-10.8
28.25,-10.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_-10.2
28.25,-9.75,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_-9.8
28.25,-9.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_-9.2
28.25,-8.75,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_-8.8
28.25,-8.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_-8.2
28.25,-7.75,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_-7.8
28.25,-7.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_-7.2
28.25,-6.75,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_-6.8
28.25,-6.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_-6.2
28.25,13.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_13.2
28.25,13.75,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_13.8
28.25,14.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_14.2
28.25,16.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_16.2
28.25,16.75,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_16.8
28.25,17.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_17.2
28.25,32.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_32.2
28.25,32.75,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_32.8
28.25,34.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_34.2
28.25,35.75,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_35.8
28.25,36.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_36.2
28.25,40.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_40.2
28.25,40.75,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_40.8
28.25,41.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_41.2
28.25,41.75,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_41.8
28.25,42.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_42.2
28.25,42.75,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_42.8
28.25,43.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_43.2
28.25,43.75,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_43.8
28.25,44.25,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_44.2
28.25,44.75,ts_owda_v1_0_0_pdsi_jja_lat_28.2_lon_44.8
28.75,-10.75,ts_owda_v1_0_0_pdsi_jja_lat_28.8_lon_-10.8
28.75,-10.25,ts_owda_v1_0_0_pdsi_jja_lat_28.8_lon_-10.2
28.75,-9.75,ts_owda_v1_0_0_pdsi_jja_lat_28.8_lon_-9.8
28.75,-9.25,ts_owda_v1_0_0_pdsi_jja_lat_28.8_lon_-9.2
28.75,-8.75,ts_owda_v1_0_0_pdsi_jja_lat_28.8_lon_-8.8
28.75,-8.25,ts_owda_v1_0_0_pdsi_jja_lat_28.8_lon_-8.2
28.75,-7.75,ts_owda_v1_0_0_pdsi_jja_lat_28.8_lon_-7.8
28.75,-7.25,ts_owda_v1_0_0_pdsi_jja_lat_28.8_lon_-7.2
28.75,-6.75,ts_owda_v1_0_0_pdsi_jja_lat_28.8_lon_-6.8
28.75,-6.25,ts_owda_v1_0_0_pdsi_jja_lat_28.8_lon_-6.2
28.75,-5.75,ts_owda_v1_0_0_pdsi_jja_lat_28.8_lon_-5.8
28.75,-5.25,ts_owda_v1_0_0_pdsi_jja_lat_28.8_lon_-5.2
