lat,lon,filename
15.25,-92.75,ts_nada_v1_0_0_pdsi_jja_lat_15.2_lon_-92.8.csv
15.25,-92.25,ts_nada_v1_0_0_pdsi_jja_lat_15.2_lon_-92.2.csv
15.75,-96.75,ts_nada_v1_0_0_pdsi_jja_lat_15.8_lon_-96.8.csv
15.75,-96.25,ts_nada_v1_0_0_pdsi_jja_lat_15.8_lon_-96.2.csv
15.75,-93.25,ts_nada_v1_0_0_pdsi_jja_lat_15.8_lon_-93.2.csv
15.75,-92.75,ts_nada_v1_0_0_pdsi_jja_lat_15.8_lon_-92.8.csv
15.75,-92.25,ts_nada_v1_0_0_pdsi_jja_lat_15.8_lon_-92.2.csv
15.75,-91.75,ts_nada_v1_0_0_pdsi_jja_lat_15.8_lon_-91.8.csv
16.25,-97.75,ts_nada_v1_0_0_pdsi_jja_lat_16.2_lon_-97.8.csv
16.25,-97.25,ts_nada_v1_0_0_pdsi_jja_lat_16.2_lon_-97.2.csv
16.25,-96.75,ts_nada_v1_0_0_pdsi_jja_lat_16.2_lon_-96.8.csv
16.25,-96.25,ts_nada_v1_0_0_pdsi_jja_lat_16.2_lon_-96.2.csv
16.25,-95.75,ts_nada_v1_0_0_pdsi_jja_lat_16.2_lon_-95.8.csv
16.25,-95.25,ts_nada_v1_0_0_pdsi_jja_lat_16.2_lon_-95.2.csv
16.25,-94.75,ts_nada_v1_0_0_pdsi_jja_lat_16.2_lon_-94.8.csv
16.25,-94.25,ts_nada_v1_0_0_pdsi_jja_lat_16.2_lon_-94.2.csv
16.25,-93.75,ts_nada_v1_0_0_pdsi_jja_lat_16.2_lon_-93.8.csv
16.25,-93.25,ts_nada_v1_0_0_pdsi_jja_lat_16.2_lon_-93.2.csv
16.25,-92.75,ts_nada_v1_0_0_pdsi_jja_lat_16.2_lon_-92.8.csv
16.25,-92.25,ts_nada_v1_0_0_pdsi_jja_lat_16.2_lon_-92.2.csv
16.25,-91.75,ts_nada_v1_0_0_pdsi_jja_lat_16.2_lon_-91.8.csv
16.25,-91.25,ts_nada_v1_0_0_pdsi_jja_lat_16.2_lon_-91.2.csv
