Metadata1
Metadata2
Metadata3, Author: Michael Erb
Metadata4
Age (yr BP),SCC mean (degrees Celsius),SCC percentile 2.5 (degrees Celsius),SCC percentile 97.5 (degrees Celsius),DCC mean (degrees Celsius),DCC percentile 2.5 (degrees Celsius),DCC percentile 97.5 (degrees Celsius),CPS mean (degrees Celsius),CPS percentile 2.5 (degrees Celsius),CPS percentile 97.5 (degrees Celsius),PAI mean (degrees Celsius),PAI percentile 2.5 (degrees Celsius),PAI percentile 97.5 (degrees Celsius),GAM mean (degrees Celsius),GAM percentile 2.5 (degrees Celsius),GAM percentile 97.5 (degrees Celsius)
0.00,0.06,-0.33,0.46,0.03,-0.24,0.33,0.09,-1.13,1.45,0.01,-0.57,0.46,0.24,-0.19,0.68
100.00,-0.32,-0.78,0.08,-0.08,-0.35,0.20,-0.38,-1.34,0.65,-0.12,-0.60,0.30,0.13,-0.29,0.54
200.00,-0.02,-0.43,0.40,-0.00,-0.26,0.24,-0.00,-0.90,1.05,0.02,-0.48,0.41,-0.05,-0.45,0.39
300.00,-0.03,-0.44,0.38,0.02,-0.22,0.24,0.07,-0.81,1.07,0.01,-0.45,0.38,-0.09,-0.47,0.30
400.00,-0.09,-0.51,0.33,0.03,-0.21,0.25,0.14,-0.75,1.05,0.02,-0.39,0.36,-0.10,-0.50,0.32
500.00,0.09,-0.32,0.46,-0.03,-0.25,0.20,-0.14,-1.00,0.76,-0.06,-0.55,0.27,-0.08,-0.49,0.32
600.00,0.09,-0.33,0.49,0.01,-0.22,0.24,0.01,-0.88,0.92,0.02,-0.47,0.38,-0.03,-0.44,0.38
700.00,0.13,-0.25,0.53,-0.03,-0.25,0.20,0.01,-0.88,0.84,0.01,-0.49,0.36,-0.00,-0.43,0.39
800.00,0.01,-0.41,0.39,-0.01,-0.25,0.22,0.03,-0.92,0.84,0.01,-0.49,0.34,0.01,-0.39,0.42
900.00,0.08,-0.31,0.48,0.06,-0.17,0.29,0.17,-0.82,1.07,0.08,-0.34,0.41,-0.02,-0.38,0.37
1000.00,0.12,-0.26,0.52,0.10,-0.13,0.31,0.35,-0.58,1.21,0.16,-0.29,0.49,0.01,-0.37,0.44
1100.00,0.21,-0.19,0.57,0.14,-0.08,0.35,0.45,-0.59,1.19,0.19,-0.20,0.51,0.01,-0.34,0.38
1200.00,0.25,-0.12,0.61,0.15,-0.08,0.38,0.47,-0.53,1.29,0.21,-0.20,0.58,0.02,-0.39,0.43
1300.00,0.13,-0.26,0.52,0.11,-0.11,0.35,0.38,-0.61,1.25,0.17,-0.24,0.54,0.05,-0.34,0.47
1400.00,0.09,-0.32,0.46,0.03,-0.19,0.26,0.16,-0.81,1.02,0.08,-0.41,0.43,0.06,-0.36,0.46
1500.00,0.12,-0.27,0.51,0.04,-0.16,0.27,0.19,-0.78,0.94,0.10,-0.39,0.47,0.06,-0.34,0.42
1600.00,0.13,-0.29,0.52,0.07,-0.12,0.30,0.16,-0.71,0.98,0.08,-0.40,0.42,0.06,-0.33,0.46
1700.00,0.09,-0.30,0.48,0.03,-0.18,0.25,0.10,-0.75,0.86,0.04,-0.45,0.37,0.03,-0.35,0.40
1800.00,0.09,-0.25,0.44,0.04,-0.17,0.26,0.23,-0.60,1.04,0.05,-0.42,0.35,0.02,-0.38,0.40
1900.00,0.09,-0.28,0.48,0.04,-0.17,0.26,0.24,-0.64,1.04,0.05,-0.40,0.40,0.00,-0.37,0.37
2000.00,0.10,-0.29,0.49,0.07,-0.16,0.29,0.31,-0.53,1.20,0.12,-0.27,0.46,-0.04,-0.43,0.34
2100.00,0.15,-0.23,0.54,0.12,-0.12,0.35,0.50,-0.32,1.51,0.12,-0.27,0.46,-0.01,-0.37,0.36
2200.00,0.18,-0.21,0.60,0.13,-0.07,0.36,0.52,-0.34,1.46,0.17,-0.26,0.52,0.08,-0.30,0.46
2300.00,0.21,-0.22,0.62,0.14,-0.09,0.34,0.52,-0.33,1.42,0.18,-0.24,0.55,0.09,-0.26,0.52
2400.00,0.23,-0.15,0.67,0.14,-0.11,0.36,0.51,-0.38,1.43,0.21,-0.16,0.56,0.03,-0.37,0.41
2500.00,0.25,-0.12,0.61,0.15,-0.09,0.37,0.58,-0.19,1.56,0.20,-0.20,0.58,0.05,-0.34,0.44
2600.00,0.26,-0.12,0.62,0.17,-0.08,0.39,0.63,-0.25,1.67,0.22,-0.19,0.62,0.08,-0.29,0.42
2700.00,0.24,-0.13,0.65,0.17,-0.07,0.38,0.65,-0.28,1.71,0.24,-0.12,0.69,0.09,-0.29,0.45
2800.00,0.23,-0.16,0.57,0.17,-0.04,0.38,0.65,-0.22,1.56,0.25,-0.11,0.67,0.11,-0.29,0.45
2900.00,0.23,-0.11,0.57,0.20,-0.01,0.44,0.73,-0.12,1.77,0.25,-0.13,0.72,0.12,-0.27,0.49
3000.00,0.26,-0.10,0.63,0.22,0.01,0.45,0.83,0.06,1.89,0.27,-0.10,0.72,0.10,-0.26,0.47
3100.00,0.25,-0.09,0.58,0.26,0.04,0.50,0.95,0.20,2.01,0.31,-0.04,0.86,0.12,-0.26,0.49
3200.00,0.28,-0.07,0.62,0.25,0.02,0.46,0.95,0.10,1.99,0.35,-0.02,0.92,0.13,-0.25,0.52
3300.00,0.26,-0.10,0.62,0.26,0.06,0.47,1.01,0.20,2.13,0.37,0.02,0.95,0.12,-0.27,0.51
3400.00,0.25,-0.09,0.62,0.29,0.06,0.49,1.05,0.22,2.20,0.39,0.05,0.96,0.13,-0.24,0.50
3500.00,0.26,-0.11,0.57,0.30,0.08,0.50,1.13,0.31,2.22,0.42,0.05,1.05,0.10,-0.30,0.47
3600.00,0.28,-0.08,0.64,0.32,0.10,0.53,1.19,0.36,2.22,0.43,0.07,0.97,0.11,-0.32,0.53
3700.00,0.30,-0.02,0.68,0.35,0.11,0.57,1.29,0.38,2.43,0.47,0.11,1.02,0.11,-0.24,0.49
3800.00,0.34,-0.02,0.65,0.37,0.15,0.59,1.34,0.50,2.56,0.51,0.15,1.12,0.12,-0.30,0.49
