Dataset name: Old World Drought Atlas
Dataset details: owda v.1_0_0 pdsi jja
Method(s): ['OWDA']
Lat/lon or region: 42.75 degN 21.25 degE
---
Original source URL: https://www.ncei.noaa.gov/access/paleo-search/study/19419
New reference period: none
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: Palmer Drought Severity Index (PDSI)
---
Year (CE),OWDA mean (PDSI)
0.00,2.38
1.00,3.76
2.00,4.94
3.00,3.15
4.00,1.24
5.00,0.35
6.00,-0.96
7.00,-0.81
8.00,0.04
9.00,0.25
10.00,0.47
11.00,-1.29
12.00,-0.28
13.00,0.15
14.00,-0.37
15.00,3.09
16.00,-0.62
17.00,-0.15
18.00,1.57
19.00,3.32
20.00,3.33
21.00,2.80
22.00,2.15
23.00,4.21
24.00,1.88
25.00,2.21
26.00,1.05
27.00,1.61
28.00,4.44
29.00,2.60
30.00,3.46
31.00,1.59
32.00,1.08
33.00,0.21
34.00,-1.99
35.00,-0.55
36.00,-1.43
37.00,-1.96
38.00,-2.81
39.00,-0.74
40.00,-0.83
41.00,-1.89
42.00,-1.14
43.00,-0.79
44.00,-0.69
45.00,-2.15
46.00,-2.90
47.00,-2.62
48.00,-0.74
49.00,-1.35
50.00,-1.07
51.00,-1.74
52.00,-1.39
53.00,-0.92
54.00,-2.56
55.00,0.21
56.00,1.95
57.00,-1.42
58.00,0.50
59.00,-1.62
60.00,-2.37
61.00,-0.91
62.00,-0.39
63.00,-0.36
64.00,-0.28
65.00,-1.16
66.00,-2.49
67.00,-1.54
68.00,-0.58
69.00,-0.08
70.00,0.36
71.00,0.26
72.00,-0.35
73.00,0.59
74.00,-0.82
75.00,0.16
76.00,1.18
77.00,1.60
78.00,1.82
79.00,2.44
80.00,3.35
81.00,0.47
82.00,1.19
83.00,2.75
84.00,0.18
85.00,-0.82
86.00,-0.69
87.00,-1.86
88.00,-2.21
89.00,1.45
90.00,-0.58
91.00,-0.33
92.00,1.05
93.00,4.03
94.00,2.71
95.00,0.89
96.00,0.23
97.00,0.88
98.00,1.25
99.00,1.89
100.00,-1.27
101.00,-1.13
102.00,-1.63
103.00,0.40
104.00,-2.33
105.00,0.62
106.00,0.47
107.00,-0.57
108.00,1.36
109.00,0.08
110.00,-0.42
111.00,-1.01
112.00,1.03
113.00,-2.23
114.00,-1.07
115.00,-0.08
116.00,-0.20
117.00,1.58
118.00,0.20
119.00,-0.44
120.00,-0.38
121.00,-1.16
122.00,-0.05
123.00,1.07
124.00,-0.34
125.00,0.00
126.00,-0.45
127.00,-0.28
128.00,-1.36
129.00,0.55
130.00,-0.50
131.00,0.78
